Name,Hash,Id,Tag,Tier,Type,Source,Equippable,Power,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Year,Season,Event,DTR Rating,# of Reviews,Mobility,Recovery,Resilience,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11
Solstice Gauntlets (Scorched),3329153302,"""6917529062140686261""",,Uncommon,Gauntlets,,Titan,200,,,Vault,true,false,1,3,Solstice of Heroes,N/A,N/A,1,0,0,,No Armor Glow*,,,,,,,,,,,
Chromatic Fire,3488362706,"""6917529094436384638""",,Exotic,Chest Armor,,Warlock,709,,,Vault,false,false,2,4,,1,5,1,1,2,,Crystalline Transistor*,Mobility Enhancement Mod*,Restorative Mod,Unflinching Sniper Aim*,Unflinching Kinetic Aim,Unflinching Machine Gun,Auto Rifle Reserves*,Bow Reserves,,,,
Reverie Dawn Tabard,2859583726,"""6917529094427193681""",,Legendary,Chest Armor,dreaming,Warlock,709,Arc Damage Resistance,2,Vault,false,false,2,4,,5,2,1,1,2,,Heavy Warlock Armor*,Mobility Enhancement Mod*,Restorative Mod,Riven's Curse*,Tier 2 Armor*,Burnished Dreams*,Unflinching Fusion Rifle Aim*,Unflinching Scout Rifle Aim,Unflinching Power Aim,Pulse Rifle Reserves*,Scout Rifle Reserves,
Ancient Apocalypse Boots,1193646249,"""6917529094456485747""",,Legendary,Leg Armor,gambit,Warlock,694,Solar Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,1,2,0,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 1 Armor*,Gambit Leather*,Auto Rifle Dexterity*,Outreach,Hand Cannon Scavenger*,Special Ammo Finder,,,
Star-Crossed Footsteps,558210411,"""6917529086155116506""",,Legendary,Leg Armor,eververse,Titan,10,Solar Damage Resistance,1,Vault,false,false,2,5,,N/A,N/A,2,1,0,,Tier 1 Armor*,Restorative Titan Armor*,Mobility Enhancement Mod*,Restorative Mod,Linear Fusion Dexterity*,Oversize Weapon Dexterity,Scout Rifle Scavenger*,Special Ammo Finder,,,,
Wing Theorem,929917162,"""6917529095006232398""",,Legendary,Gauntlets,crucible,Warlock,741,Void Damage Resistance,3,Vault,false,false,2,4,,5,1,2,1,0,,Mobile Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 3 Armor*,Crucible Legacy*,Bow Reloader*,Linear Fusion Rifle Loader,Linear Fusion Rifle Scavenger*,Rocket Launcher Scavenger,,,
Wing Theorem,3724026171,"""6917529094459252753""",,Legendary,Helmet,crucible,Warlock,712,Arc Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,0,2,1,,Restorative Warlock Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 1 Armor*,Crucible Legacy*,Linear Fusion Rifle Targeting*,Ashes to Assets,Linear Fusion Rifle Reserves*,Heavy Ammo Finder,,,
Tangled Web Hood,1664085089,"""6917529094456490625""",,Legendary,Helmet,,Warlock,689,Arc Damage Resistance,3,Vault,true,false,2,4,,5,1,0,3,0,,Restorative Warlock Armor*,Mobility Enhancement Mod,Restorative Mod*,Tier 3 Armor*,Light Reactor*,Power Weapon Targeting,Linear Fusion Rifle Reserves*,Sniper Rifle Reserves,,,,
Ancient Apocalypse Bond,2088829612,"""6917529094459255625""",,Legendary,Warlock Bond,gambit,Warlock,691,Void Damage Resistance,1,Vault,false,false,2,4,,5,1,0,0,0,,Tier 1 Armor*,Gambit Leather*,Recuperation*,Better Already,Pulse Rifle Scavenger*,Shotgun Scavenger,,,,,,
Celestial Nighthawk,1667080810,"""6917529080300718897""",,Exotic,Helmet,,Hunter,585,,,Vault,false,false,1,1,,5,3,1,0,2,,Hawkeye Hack*,Plasteel Reinforcement Mod*,Restorative Mod,Sidearm Targeting*,Pump Action,Energy Weapon Targeting,Rocket Launcher Reserves*,Sword Reserves,Victorian Silverhawk,,,
Prodigal Gauntlets,1429424420,"""6917529094018550970""",,Legendary,Gauntlets,,Titan,655,Void Damage Resistance,1,Vault,false,false,2,4,,1,2,0,1,2,,Restorative Titan Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 1 Armor*,Momentum Transfer*,Kinetic Weapon Loader,Heavy Ammo Finder*,Machine Gun Scavenger,,,,
Vigil of Heroes,1054960580,"""6917529094456484294""",,Legendary,Warlock Bond,strikes,Warlock,712,Arc Damage Resistance,2,Vault,false,false,2,4,,N/A,N/A,0,0,0,,Tier 2 Armor*,Vanguard Veteran*,Insulation*,Invigoration,Bow Reserves*,Sniper Rifle Scavenger,,,,,,
Exodus Down Bond,874856664,"""6917529094487071556""",,Legendary,Warlock Bond,menagerie,Warlock,720,Arc Damage Resistance,1,Vault,false,false,2,7,,N/A,N/A,0,0,0,,Tier 1 Armor*,Insulation,Recuperation*,Submachine Gun Reserves*,Submachine Gun Scavenger,Empty Activity Mod Socket*,,,,,,
Lion Rampant,3790373074,"""6917529084952160040""",,Exotic,Leg Armor,,Titan,621,,,Vault,true,false,1,1,,5,11,1,1,2,,Jump Jets*,Mobility Enhancement Mod,Restorative Mod*,Rocket Scientist,Bow Dexterity,Traction*,Light Arms Dexterity,Primary Ammo Finder,Special Ammo Finder*,,,
Scatterhorn Robe,1250571424,"""6917529095018780199""",,Legendary,Chest Armor,tangled,Warlock,742,Arc Damage Resistance,2,Vault,false,false,2,4,,1,2,0,2,2,,Heavy Warlock Armor*,Plasteel Reinforcement Mod,Restorative Mod*,Tier 2 Armor*,Tangled Rust*,Unflinching Auto Rifle Aim*,Unflinching Linear Fusion Aim,Scout Rifle Reserves,Special Ammo Finder*,,,
Prodigal Gloves,2475888361,"""6917529094528813537""",,Legendary,Gauntlets,,Warlock,691,Solar Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,1,2,0,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 1 Armor*,Bow Reloader*,Grenade Launcher Loader,Heavy Ammo Finder*,Machine Gun Scavenger,,,,
Lost Pacific Helmet,2575848725,"""6917529094578048281""",,Legendary,Helmet,titan,Warlock,706,,,Vault,false,false,1,1,,N/A,N/A,1,1,1,,Heavy Warlock Armor*,Mobility Enhancement Mod*,Restorative Mod,Masterwork Upgrade*,,,,,,,,
Philomath Gloves,489114030,"""6917529094575168339""",,Legendary,Gauntlets,,Warlock,706,,,Vault,false,false,1,1,,N/A,N/A,1,2,0,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Masterwork Upgrade*,,,,,,,,
Tangled Web Mark,919186882,"""6917529084235358352""",,Legendary,Titan Mark,,Titan,595,Arc Damage Resistance,2,Vault,false,false,2,4,,5,1,0,0,0,,Tier 2 Armor*,Recuperation*,Better Already,Linear Fusion Rifle Reserves*,Shotgun Reserves,,,,,,,
Star-Crossed Mark,2757194094,"""6917529084459119551""",,Legendary,Titan Mark,eververse,Titan,10,Void Damage Resistance,2,Vault,false,false,2,5,,N/A,N/A,0,0,0,,Tier 2 Armor*,Invigoration*,Better Already,Sniper Rifle Reserves*,Sword Scavenger,,,,,,,
Solstice Mark (Scorched),873850027,"""6917529062140688941""",,Uncommon,Titan Mark,,Titan,200,,,Vault,true,false,1,3,Solstice of Heroes,N/A,N/A,0,0,0,,No Armor Glow*,,,,,,,,,,,
Reverie Dawn Bond,3602032567,"""6917529077740874992""",,Legendary,Warlock Bond,dreaming,Warlock,527,Void Damage Resistance,2,Vault,false,false,2,4,,N/A,N/A,0,0,0,,Riven's Curse*,Tier 2 Armor*,Blueshift Dreams*,Insulation*,Innervation,Better Already,Grenade Launcher Reserves*,Sniper Rifle Reserves,,,,
Prodigal Mask,4104298449,"""6917529080297537883""",,Legendary,Helmet,,Hunter,600,Void Damage Resistance,2,Vault,false,false,2,4,,5,1,1,2,0,,Survivalist Hunter Armor*,Plasteel Reinforcement Mod,Restorative Mod*,Tier 2 Armor*,Mars Sunset*,Light Reactor,Precision Weapon Targeting*,Fusion Rifle Reserves,Linear Fusion Rifle Reserves*,,,
Prodigal Hood,2012084760,"""6917529079435940098""",,Legendary,Helmet,,Warlock,547,Solar Damage Resistance,2,Vault,false,false,2,4,,5,2,0,3,0,,Restorative Warlock Armor*,Mobility Enhancement Mod,Restorative Mod*,Tier 2 Armor*,Heavy Lifting*,Kinetic Weapon Targeting,Special Ammo Finder*,Heavy Ammo Finder,,,,
Illicit Collector Hood,359531057,"""6917529094583880693""",,Legendary,Helmet,gambitprime,Warlock,732,Arc Damage Resistance,3,Vault,true,false,2,6,,N/A,N/A,0,1,2,,Collector +1*,Heavy Warlock Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 3 Armor*,Ashes to Assets*,Pump Action,Shotgun Reserves*,Sword Reserves,,,
Prodigal Steps,2767830203,"""6917529094728101650""",,Legendary,Leg Armor,,Warlock,713,Arc Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,1,2,0,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 1 Armor*,Fusion Rifle Dexterity*,Bomber,Auto Rifle Scavenger*,Scout Rifle Scavenger,,,,
Bond of the Great Hunt,821841934,"""6917529080234367385""",,Legendary,Warlock Bond,lastwish,Warlock,600,Arc Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,0,0,0,,Tier 1 Armor*,Insulation*,Innervation,Better Already,Pulse Rifle Scavenger*,Submachine Gun Scavenger,,,,,,
Prodigal Mark,1266060945,"""6917529077202857522""",,Legendary,Titan Mark,,Titan,600,Void Damage Resistance,2,Vault,false,false,2,4,,5,2,0,0,0,,Tier 2 Armor*,Monochromatic*,Recuperation,Better Already*,Sniper Rifle Reserves*,Sniper Rifle Scavenger,,,,,,
Scatterhorn Wraps,1069453608,"""6917529075099450486""",,Legendary,Gauntlets,tangled,Warlock,507,Void Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,1,2,0,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 1 Armor*,Tangled Rust*,Shotgun Loader*,Large Weapon Loader,Shotgun Scavenger*,Sniper Rifle Scavenger,,,
Prodigal Hood,2012084760,"""6917529094790551349""",,Legendary,Helmet,,Warlock,704,Solar Damage Resistance,1,Vault,false,false,2,4,,5,3,1,1,1,,Heavy Warlock Armor*,Mobility Enhancement Mod*,Restorative Mod,Tier 1 Armor*,Bow Targeting*,Heavy Lifting,Shotgun Reserves*,Sword Reserves,,,,
Wing Theorem,327530279,"""6917529094790544524""",,Legendary,Warlock Bond,crucible,Warlock,735,Arc Damage Resistance,1,Vault,false,false,2,4,,5,1,0,0,0,,Tier 1 Armor*,Crucible Legacy*,Recuperation*,Better Already,Grenade Launcher Reserves*,Hand Cannon Scavenger,,,,,,
Scatterhorn Mask,2276115770,"""6917529080863165066""",,Legendary,Helmet,tangled,Hunter,579,Solar Damage Resistance,4,Vault,false,false,2,4,,N/A,N/A,1,0,2,,Heavy Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 4 Armor*,Tangled Rust*,Auto Rifle Targeting*,Scout Rifle Targeting,Sword Reserves*,Special Ammo Finder,,,
Reverie Dawn Cloak,3306564654,"""6917529080786713357""",,Legendary,Hunter Cloak,dreaming,Hunter,600,Solar Damage Resistance,4,Vault,false,false,2,4,,5,2,0,0,0,,Riven's Curse*,Tier 4 Armor*,Mars Sunset*,Innervation,Invigoration,Better Already*,Sword Reserves,Hand Cannon Scavenger*,,,,
Tangled Web Vest,2648545535,"""6917529076339740326""",,Legendary,Chest Armor,,Hunter,505,Solar Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,1,1,2,,Survivalist Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 1 Armor*,Unflinching Rifle Aim*,Unflinching Large Arms,Pulse Rifle Reserves*,Scout Rifle Reserves,,,,
Illicit Sentry Bond,4051618673,"""6917529094427192465""",,Legendary,Warlock Bond,gambitprime,Warlock,689,Solar Damage Resistance,1,Vault,false,false,2,6,,N/A,N/A,0,0,0,,Sentry +1*,Tier 1 Armor*,Innervation*,Invigoration,Scout Rifle Reserves*,Sword Scavenger,,,,,,
Dragonfly Regalia Strides,1558296754,"""6917529076056407228""",,Legendary,Leg Armor,eververse,Hunter,10,Arc Damage Resistance,4,Vault,false,false,2,4,,N/A,N/A,3,0,0,,Tier 4 Armor*,Mobile Hunter Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Scout Rifle Dexterity*,Dynamo,Submachine Gun Scavenger*,Primary Ammo Finder,,,,
Vigil of Heroes,3670149407,"""6917529080291499913""",,Legendary,Hunter Cloak,strikes,Hunter,548,Arc Damage Resistance,1,Vault,false,false,2,4,,5,1,0,0,0,,Tier 1 Armor*,Vanguard Veteran*,Invigoration,Recuperation*,Sniper Rifle Scavenger,Special Ammo Finder*,,,,,,
Eimin-Tin Ritual Mask,3858472841,"""6917529073788783443""",,Legendary,Helmet,tangled,Warlock,500,Arc Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,1,2,0,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Restorative Mod,Super Mod*,Tier 1 Armor*,Scatter Projectile Targeting*,Special Ammo Finder*,,,,,
Dragonfly Regalia Robes,4118548161,"""6917529076694755953""",,Legendary,Chest Armor,eververse,Warlock,600,Arc Damage Resistance,4,Vault,true,false,2,4,,N/A,N/A,0,3,2,,Tier 4 Armor*,Restorative Warlock Armor*,Mobility Enhancement Mod,Restorative Mod*,Resilience Mod*,Monochromatic*,Unflinching Sniper Aim*,Unflinching Energy Aim,Bow Reserves,Primary Ammo Finder*,,
Vigil of Heroes,2442309039,"""6917529067453595641""",,Legendary,Gauntlets,strikes,Warlock,505,Void Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,0,2,1,,Restorative Warlock Armor*,Mobility Enhancement Mod,Plasteel Reinforcement Mod*,Tier 1 Armor*,Vanguard Veteran*,Linear Fusion Rifle Loader*,Submachine Gun Loader,Fusion Rifle Scavenger,Grenade Launcher Scavenger*,,,
Scatterhorn Vest,307138509,"""6917529076056410580""",,Legendary,Chest Armor,tangled,Hunter,525,Void Damage Resistance,2,Vault,false,false,2,4,,N/A,N/A,1,1,2,,Heavy Hunter Armor*,Plasteel Reinforcement Mod,Restorative Mod*,Tier 2 Armor*,Tangled Rust*,Unflinching Linear Fusion Aim,Unflinching Light Arms Aim*,Hand Cannon Reserves,Primary Ammo Finder*,,,
Tangled Web Cloak,25091086,"""6917529080318149511""",,Legendary,Hunter Cloak,,Hunter,570,Solar Damage Resistance,1,Vault,false,false,2,4,,5,4,0,0,0,,Tier 1 Armor*,Insulation*,Recuperation,Grenade Launcher Reserves*,Hand Cannon Scavenger,,,,,,,
Legs of Optimacy,1094905316,"""6917529095290062961""",,Legendary,Leg Armor,eververse,Warlock,10,Solar Damage Resistance,2,Vault,false,false,2,7,,1,1,1,2,0,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 2 Armor*,Shotgun Dexterity*,Outreach,Auto Rifle Scavenger*,Submachine Gun Scavenger,Empty Activity Mod Socket*,,,
Reverie Dawn Hood,185695659,"""6917529094788297162""",,Legendary,Helmet,dreaming,Warlock,736,Arc Damage Resistance,2,Vault,false,false,2,4,,5,4,1,2,0,,Mobile Warlock Armor*,Mobility Enhancement Mod,Restorative Mod*,Riven's Curse*,Tier 2 Armor*,Burnished Dreams*,Sidearm Targeting,Heavy Lifting*,Energy Weapon Targeting,Grenade Launcher Reserves*,Rocket Launcher Reserves,
Prodigal Robes,1553407343,"""6917529094931958929""",,Legendary,Chest Armor,,Warlock,711,Void Damage Resistance,2,Vault,false,false,2,4,,N/A,N/A,1,1,2,,Heavy Warlock Armor*,Mobility Enhancement Mod*,Restorative Mod,Tier 2 Armor*,Unflinching Scout Rifle Aim*,Unflinching Sniper Aim,Scout Rifle Reserves*,Special Ammo Finder,,,,
Tangled Web Robes,1034149520,"""6917529094988875450""",,Legendary,Chest Armor,,Warlock,719,Arc Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,1,1,2,,Heavy Warlock Armor*,Mobility Enhancement Mod*,Restorative Mod,Tier 1 Armor*,Unflinching Hand Cannon Aim*,Unflinching Sniper Aim,Auto Rifle Reserves*,Primary Ammo Finder,,,,
Ancient Apocalypse Robes,4188366993,"""6917529094783799919""",,Legendary,Chest Armor,gambit,Warlock,736,Arc Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,2,1,1,,Mobile Warlock Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 1 Armor*,Gambit Leather*,Unflinching Light Arms Aim*,Unflinching Large Arms,Hand Cannon Reserves*,Scout Rifle Reserves,,,
Reverie Dawn Boots,188778964,"""6917529095011149483""",,Legendary,Leg Armor,dreaming,Warlock,723,Solar Damage Resistance,2,Vault,false,false,2,4,,5,1,1,2,0,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Riven's Curse*,Tier 2 Armor*,Blueshift Dreams*,Perpetuation*,Outreach,Power Dexterity,Auto Rifle Scavenger*,Arrow Scavenger,
Reverie Dawn Hood,185695659,"""6917529080001184270""",,Legendary,Helmet,dreaming,Warlock,594,Void Damage Resistance,2,Vault,false,false,2,4,,5,4,2,1,0,,Mobile Warlock Armor*,Mobility Enhancement Mod*,Restorative Mod,Riven's Curse*,Tier 2 Armor*,Burnished Dreams*,Heavy Lifting*,Remote Connection,Kinetic Weapon Targeting,Grenade Launcher Reserves*,Rocket Launcher Reserves,
Scorned Baron Robes,3183089352,"""6917529067283074552""",,Legendary,Chest Armor,tangled,Warlock,500,Void Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,0,3,2,,Restorative Warlock Armor*,Mobility Enhancement Mod,Restorative Mod*,Resilience Mod*,Tier 1 Armor*,Unflinching Rifle Aim*,Primary Ammo Finder*,,,,,
Annealed Shaper Gloves,3128915572,"""6917529094929596804""",,Legendary,Gauntlets,blackarmory,Warlock,741,Void Damage Resistance,1,Vault,false,false,2,5,,N/A,N/A,0,1,2,,Heavy Warlock Armor*,Mobility Enhancement Mod,Plasteel Reinforcement Mod*,Tier 1 Armor*,New Age Black Armory*,Impact Induction*,Momentum Transfer,Grenade Launcher Scavenger,Shotgun Scavenger*,,,
Vigil of Heroes,2592351697,"""6917529095102772263""",,Legendary,Leg Armor,strikes,Warlock,744,Void Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,1,2,0,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 1 Armor*,Vanguard Veteran*,Auto Rifle Dexterity*,Bow Dexterity,Pulse Rifle Scavenger*,Sidearm Scavenger,,,
Vigil of Heroes,1054960580,"""6917529094616121935""",,Legendary,Warlock Bond,strikes,Warlock,736,Arc Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,0,0,0,,Tier 1 Armor*,Vanguard Veteran*,Invigoration,Better Already*,Auto Rifle Scavenger*,Sidearm Scavenger,,,,,,
Solstice Greaves (Scorched),246568432,"""6917529062140686088""",,Uncommon,Leg Armor,,Titan,200,,,Vault,true,false,1,3,Solstice of Heroes,N/A,N/A,1,0,0,,No Armor Glow*,,,,,,,,,,,
Prodigal Bond,2800566014,"""6917529095085349997""",,Legendary,Warlock Bond,,Warlock,743,Void Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,0,0,0,,Tier 1 Armor*,Invigoration,Better Already*,Hand Cannon Reserves,Rocket Launcher Scavenger*,,,,,,,
Prodigal Robes,1553407343,"""6917529079438958437""",,Legendary,Chest Armor,,Warlock,548,Arc Damage Resistance,1,Vault,false,false,2,4,,5,1,1,2,1,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Restorative Mod,Tier 1 Armor*,Unflinching Linear Fusion Aim*,Unflinching Pulse Rifle Aim,Hand Cannon Reserves*,Special Ammo Finder,,,,
Prodigal Steps,2767830203,"""6917529096985564342""",,Legendary,Leg Armor,,Warlock,722,Arc Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,2,1,0,,Mobile Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 1 Armor*,Oversize Weapon Dexterity*,Machine Gun Dexterity,Hand Cannon Scavenger*,Scout Rifle Scavenger,,,,
Illicit Sentry Boots,2005998382,"""6917529094433435205""",,Legendary,Leg Armor,gambitprime,Warlock,691,Arc Damage Resistance,2,Vault,true,false,2,6,,N/A,N/A,1,1,1,,Sentry +1*,Heavy Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 2 Armor*,Dynamo*,Rifle Dexterity,Pulse Rifle Scavenger*,Special Ammo Finder,,,
Vigil of Heroes,3569624585,"""6917529068533487631""",,Legendary,Chest Armor,strikes,Warlock,505,Solar Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,0,2,2,,Restorative Warlock Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 1 Armor*,Vanguard Veteran*,Unflinching Sniper Aim*,Unflinching Kinetic Aim,Auto Rifle Reserves*,Primary Ammo Finder,,,
Insigne Shade Cover,1675393889,"""6917529096520404998""",,Legendary,Helmet,calus,Warlock,730,,,Vault,false,false,1,3,,N/A,N/A,0,2,1,,Heavy Warlock Armor*,Mobility Enhancement Mod,Restorative Mod*,Empowering Largesse*,Radiant Largesse,Embraced Largesse,Praetorian Ornament*,Masterwork Upgrade*,,,,
Reverie Dawn Hood,185695659,"""6917529095287354334""",,Legendary,Helmet,dreaming,Warlock,749,Arc Damage Resistance,2,Vault,false,false,2,4,,5,3,1,2,0,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Restorative Mod,Riven's Curse*,Tier 2 Armor*,Burnished Dreams*,Shotgun Targeting*,Light Reactor,Power Weapon Targeting,Shotgun Reserves*,Special Ammo Finder,
Ancient Apocalypse Hood,1236746902,"""6917529072926904962""",,Legendary,Helmet,gambit,Warlock,521,Solar Damage Resistance,3,Vault,false,false,2,4,,N/A,N/A,0,3,0,,Restorative Warlock Armor*,Plasteel Reinforcement Mod,Restorative Mod*,Tier 3 Armor*,Gambit Leather*,Sniper Rifle Targeting,Hands-On*,Rocket Launcher Reserves,Sniper Rifle Reserves*,,,
Illicit Sentry Boots,2005998382,"""6917529094430163861""",,Legendary,Leg Armor,gambitprime,Warlock,690,Solar Damage Resistance,1,Vault,true,false,2,6,,N/A,N/A,2,1,1,,Sentry +1*,Heavy Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 1 Armor*,Traction*,Bomber,Hand Cannon Scavenger*,Primary Ammo Finder,,,
Prophet Snow,2441435355,"""6917529095373652285""",,Rare,Leg Armor,,Warlock,728,,,Vault,false,false,2,4,,N/A,N/A,0,2,0,,Restorative Warlock Armor*,Metallic Sunrise*,Fusion Rifle Dexterity*,,,,,,,,,
Bond of Chiron,320174990,"""6917529095378829332""",,Rare,Warlock Bond,,Warlock,723,,,Vault,false,false,2,4,,N/A,N/A,0,0,0,,Metallic Sunset*,Recuperation*,,,,,,,,,,
Illicit Collector Boots,77525090,"""6917529094583877559""",,Legendary,Leg Armor,gambitprime,Warlock,711,Arc Damage Resistance,3,Vault,true,false,2,6,,N/A,N/A,1,1,1,,Collector +1*,Heavy Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 3 Armor*,Fusion Rifle Dexterity*,Outreach,Pulse Rifle Scavenger*,Submachine Gun Scavenger,,,
Ancient Apocalypse Mask,629787707,"""6917529080297537373""",,Legendary,Helmet,gambit,Hunter,578,Void Damage Resistance,2,Vault,false,false,2,4,,N/A,N/A,2,0,1,,Mobile Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 2 Armor*,Gambit Leather*,Ashes to Assets*,Precision Weapon Targeting,Grenade Launcher Reserves*,Linear Fusion Rifle Reserves,,,
Vigil of Heroes,1514863327,"""6917529080246354004""",,Legendary,Helmet,strikes,Titan,559,Arc Damage Resistance,2,Vault,false,false,2,4,,5,1,1,0,2,,Mobile Titan Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 2 Armor*,Vanguard Veteran*,Heavy Lifting*,Hands-On,Rocket Launcher Reserves*,Heavy Ammo Finder,,,
Skerren Corvus Grasps,4187872788,"""6917529080300713295""",,Legendary,Gauntlets,eververse,Hunter,10,Solar Damage Resistance,1,Vault,false,false,2,4,Festival of the Lost,N/A,N/A,3,0,0,,Tier 1 Armor*,Mobile Hunter Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Sidearm Loader*,Fastball,Special Ammo Finder*,Heavy Ammo Finder,,,,
Wing Discipline,2124666626,"""6917529080282141451""",,Legendary,Helmet,crucible,Titan,586,Arc Damage Resistance,2,Vault,false,false,2,4,,N/A,N/A,1,0,2,,Mobile Titan Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 2 Armor*,Crucible Legacy*,Heavy Lifting*,Hands-On,Fusion Rifle Reserves*,Grenade Launcher Reserves,,,
Scatterhorn Hood,2411325265,"""6917529075302235215""",,Legendary,Helmet,tangled,Warlock,530,Void Damage Resistance,1,Vault,false,false,2,4,,1,1,0,3,0,,Restorative Warlock Armor*,Plasteel Reinforcement Mod,Restorative Mod*,Tier 1 Armor*,New Monarchy Allegiance*,Bow Targeting,Heavy Lifting*,Sniper Rifle Reserves,Heavy Ammo Finder*,,,
Scatterhorn Strides,2563857333,"""6917529080288315381""",,Legendary,Leg Armor,tangled,Hunter,584,Solar Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,2,0,1,,Heavy Hunter Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 1 Armor*,Tangled Bronze*,Submachine Gun Dexterity*,Perpetuation,Arrow Scavenger*,Hand Cannon Scavenger,,,
Solstice Hood (Scorched),2147433548,"""6917529062130927599""",,Uncommon,Helmet,,Warlock,200,,,Vault,false,false,1,3,Solstice of Heroes,N/A,N/A,1,0,0,,No Armor Glow*,,,,,,,,,,,
Solstice Boots (Scorched),1224603527,"""6917529062127197552""",,Uncommon,Leg Armor,,Warlock,200,,,Vault,false,false,1,3,Solstice of Heroes,N/A,N/A,1,0,0,,No Armor Glow*,,,,,,,,,,,
Wing Contender,1084033161,"""6917529080297534793""",,Legendary,Leg Armor,crucible,Hunter,581,Void Damage Resistance,1,Vault,false,false,2,4,,5,2,1,1,1,,Survivalist Hunter Armor*,Mobility Enhancement Mod*,Restorative Mod,Tier 1 Armor*,Crucible Legacy*,Energy Dexterity*,Rifle Dexterity,Auto Rifle Scavenger*,Scout Rifle Scavenger,,,
Helm of the Emperor's Champion,1413589587,"""6917529059232861157""",,Legendary,Helmet,calus,Titan,380,,,Vault,true,false,1,1,,N/A,N/A,1,1,1,,Mobile Titan Armor*,Mobility Enhancement Mod,Restorative Mod*,Empowering Largesse,Radiant Largesse*,Embraced Largesse,Midnight Talons*,Masterwork Armor*,,,,
Vigil of Heroes,2072877132,"""6917529080300713052""",,Legendary,Leg Armor,strikes,Hunter,568,Solar Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,2,0,1,,Heavy Hunter Armor*,Mobility Enhancement Mod*,Restorative Mod,Tier 1 Armor*,Vanguard Veteran*,Perpetuation*,Bomber,Auto Rifle Scavenger*,Submachine Gun Scavenger,,,
Wing Contender,3211001969,"""6917529080318147596""",,Legendary,Chest Armor,crucible,Hunter,591,Arc Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,1,2,1,,Survivalist Hunter Armor*,Plasteel Reinforcement Mod,Restorative Mod*,Tier 1 Armor*,Crucible Legacy*,Unflinching Energy Aim*,Unflinching Large Arms,Auto Rifle Reserves,Primary Ammo Finder*,,,
